TransactionNo,Items,Hour,Weekday,Date/Time,Day Part,Day Type
1,Bread,9,Sunday,10/30/2016 9:58,Morning,Weekend
2,Scandinavian,10,Sunday,10/30/2016 10:05,Morning,Weekend
2,Scandinavian,10,Sunday,10/30/2016 10:05,Morning,Weekend
3,Hot chocolate,10,Sunday,10/30/2016 10:07,Morning,Weekend
3,Jam,10,Sunday,10/30/2016 10:07,Morning,Weekend
3,Cookies,10,Sunday,10/30/2016 10:07,Morning,Weekend
4,Muffin,10,Sunday,10/30/2016 10:08,Morning,Weekend
5,Coffee,10,Sunday,10/30/2016 10:13,Morning,Weekend
5,Pastry,10,Sunday,10/30/2016 10:13,Morning,Weekend
5,Bread,10,Sunday,10/30/2016 10:13,Morning,Weekend
6,Medialuna,10,Sunday,10/30/2016 10:16,Morning,Weekend
6,Pastry,10,Sunday,10/30/2016 10:16,Morning,Weekend
6,Muffin,10,Sunday,10/30/2016 10:16,Morning,Weekend
7,Medialuna,10,Sunday,10/30/2016 10:19,Morning,Weekend
7,Pastry,10,Sunday,10/30/2016 10:19,Morning,Weekend
7,Coffee,10,Sunday,10/30/2016 10:19,Morning,Weekend
7,Tea,10,Sunday,10/30/2016 10:19,Morning,Weekend
8,Pastry,10,Sunday,10/30/2016 10:20,Morning,Weekend
8,Bread,10,Sunday,10/30/2016 10:20,Morning,Weekend
9,Bread,10,Sunday,10/30/2016 10:21,Morning,Weekend
9,Muffin,10,Sunday,10/30/2016 10:21,Morning,Weekend
10,Scandinavian,10,Sunday,10/30/2016 10:25,Morning,Weekend
10,Medialuna,10,Sunday,10/30/2016 10:25,Morning,Weekend
11,Bread,10,Sunday,10/30/2016 10:27,Morning,Weekend
11,Medialuna,10,Sunday,10/30/2016 10:27,Morning,Weekend
11,Bread,10,Sunday,10/30/2016 10:27,Morning,Weekend
12,Jam,10,Sunday,10/30/2016 10:30,Morning,Weekend
12,Coffee,10,Sunday,10/30/2016 10:30,Morning,Weekend
12,Tartine,10,Sunday,10/30/2016 10:30,Morning,Weekend
12,Pastry,10,Sunday,10/30/2016 10:30,Morning,Weekend
12,Tea,10,Sunday,10/30/2016 10:30,Morning,Weekend
13,Basket,10,Sunday,10/30/2016 10:31,Morning,Weekend
13,Bread,10,Sunday,10/30/2016 10:31,Morning,Weekend
13,Coffee,10,Sunday,10/30/2016 10:31,Morning,Weekend
14,Bread,10,Sunday,10/30/2016 10:32,Morning,Weekend
14,Medialuna,10,Sunday,10/30/2016 10:32,Morning,Weekend
14,Pastry,10,Sunday,10/30/2016 10:32,Morning,Weekend
15,Mineral water,10,Sunday,10/30/2016 10:34,Morning,Weekend
15,Scandinavian,10,Sunday,10/30/2016 10:34,Morning,Weekend
16,Bread,10,Sunday,10/30/2016 10:37,Morning,Weekend
16,Medialuna,10,Sunday,10/30/2016 10:37,Morning,Weekend
16,Coffee,10,Sunday,10/30/2016 10:37,Morning,Weekend
17,Hot chocolate,10,Sunday,10/30/2016 10:38,Morning,Weekend
18,Farm House,10,Sunday,10/30/2016 10:41,Morning,Weekend
19,Farm House,10,Sunday,10/30/2016 10:43,Morning,Weekend
19,Bread,10,Sunday,10/30/2016 10:43,Morning,Weekend
20,Bread,10,Sunday,10/30/2016 10:45,Morning,Weekend
20,Medialuna,10,Sunday,10/30/2016 10:45,Morning,Weekend
21,Coffee,10,Sunday,10/30/2016 10:49,Morning,Weekend
21,Coffee,10,Sunday,10/30/2016 10:49,Morning,Weekend
21,Medialuna,10,Sunday,10/30/2016 10:49,Morning,Weekend
21,Bread,10,Sunday,10/30/2016 10:49,Morning,Weekend
22,Jam,10,Sunday,10/30/2016 10:52,Morning,Weekend
23,Scandinavian,10,Sunday,10/30/2016 10:53,Morning,Weekend
23,Muffin,10,Sunday,10/30/2016 10:53,Morning,Weekend
24,Bread,10,Sunday,10/30/2016 10:54,Morning,Weekend
25,Scandinavian,10,Sunday,10/30/2016 10:55,Morning,Weekend
26,Fudge,10,Sunday,10/30/2016 10:56,Morning,Weekend
27,Scandinavian,11,Sunday,10/30/2016 11:02,Morning,Weekend
28,Coffee,11,Sunday,10/30/2016 11:03,Morning,Weekend
28,Bread,11,Sunday,10/30/2016 11:03,Morning,Weekend
29,Bread,11,Sunday,10/30/2016 11:05,Morning,Weekend
29,Jam,11,Sunday,10/30/2016 11:05,Morning,Weekend
30,Bread,11,Sunday,10/30/2016 11:07,Morning,Weekend
31,Basket,11,Sunday,10/30/2016 11:12,Morning,Weekend
32,Scandinavian,11,Sunday,10/30/2016 11:16,Morning,Weekend
32,Muffin,11,Sunday,10/30/2016 11:16,Morning,Weekend
33,Coffee,11,Sunday,10/30/2016 11:22,Morning,Weekend
34,Coffee,11,Sunday,10/30/2016 11:25,Morning,Weekend
34,Muffin,11,Sunday,10/30/2016 11:25,Morning,Weekend
35,Muffin,11,Sunday,10/30/2016 11:27,Morning,Weekend
35,Scandinavian,11,Sunday,10/30/2016 11:27,Morning,Weekend
36,Tea,11,Sunday,10/30/2016 11:33,Morning,Weekend
36,Bread,11,Sunday,10/30/2016 11:33,Morning,Weekend
37,Coffee,11,Sunday,10/30/2016 11:37,Morning,Weekend
37,Bread,11,Sunday,10/30/2016 11:37,Morning,Weekend
38,Bread,11,Sunday,10/30/2016 11:42,Morning,Weekend
38,Tea,11,Sunday,10/30/2016 11:42,Morning,Weekend
39,Scandinavian,11,Sunday,10/30/2016 11:44,Morning,Weekend
40,Juice,11,Sunday,10/30/2016 11:55,Morning,Weekend
40,Tartine,11,Sunday,10/30/2016 11:55,Morning,Weekend
40,Coffee,11,Sunday,10/30/2016 11:55,Morning,Weekend
40,Muffin,11,Sunday,10/30/2016 11:55,Morning,Weekend
41,Scandinavian,11,Sunday,10/30/2016 11:57,Morning,Weekend
42,Bread,11,Sunday,10/30/2016 11:57,Morning,Weekend
42,Tea,11,Sunday,10/30/2016 11:57,Morning,Weekend
43,Scandinavian,12,Sunday,10/30/2016 12:00,Afternoon,Weekend
43,Fudge,12,Sunday,10/30/2016 12:00,Afternoon,Weekend
44,Coffee,12,Sunday,10/30/2016 12:05,Afternoon,Weekend
44,Medialuna,12,Sunday,10/30/2016 12:05,Afternoon,Weekend
45,Coffee,12,Sunday,10/30/2016 12:08,Afternoon,Weekend
45,Hot chocolate,12,Sunday,10/30/2016 12:08,Afternoon,Weekend
45,Medialuna,12,Sunday,10/30/2016 12:08,Afternoon,Weekend
46,Coffee,12,Sunday,10/30/2016 12:09,Afternoon,Weekend
47,Ella's Kitchen Pouches,12,Sunday,10/30/2016 12:15,Afternoon,Weekend
47,Juice,12,Sunday,10/30/2016 12:15,Afternoon,Weekend
47,Bread,12,Sunday,10/30/2016 12:15,Afternoon,Weekend
47,Muffin,12,Sunday,10/30/2016 12:15,Afternoon,Weekend
47,Jam,12,Sunday,10/30/2016 12:15,Afternoon,Weekend
48,Coffee,12,Sunday,10/30/2016 12:17,Afternoon,Weekend
49,Coffee,12,Sunday,10/30/2016 12:23,Afternoon,Weekend
49,Coffee,12,Sunday,10/30/2016 12:23,Afternoon,Weekend
49,Medialuna,12,Sunday,10/30/2016 12:23,Afternoon,Weekend
50,Bread,12,Sunday,10/30/2016 12:25,Afternoon,Weekend
50,Victorian Sponge,12,Sunday,10/30/2016 12:25,Afternoon,Weekend
51,Bread,12,Sunday,10/30/2016 12:26,Afternoon,Weekend
52,Scandinavian,12,Sunday,10/30/2016 12:28,Afternoon,Weekend
54,Bread,12,Sunday,10/30/2016 12:33,Afternoon,Weekend
55,Frittata,12,Sunday,10/30/2016 12:38,Afternoon,Weekend
55,Coffee,12,Sunday,10/30/2016 12:38,Afternoon,Weekend
55,Tea,12,Sunday,10/30/2016 12:38,Afternoon,Weekend
55,Hearty & Seasonal,12,Sunday,10/30/2016 12:38,Afternoon,Weekend
56,Coffee,12,Sunday,10/30/2016 12:39,Afternoon,Weekend
56,Frittata,12,Sunday,10/30/2016 12:39,Afternoon,Weekend
57,Scandinavian,12,Sunday,10/30/2016 12:45,Afternoon,Weekend
58,Victorian Sponge,12,Sunday,10/30/2016 12:59,Afternoon,Weekend
58,Hot chocolate,12,Sunday,10/30/2016 12:59,Afternoon,Weekend
58,Tea,12,Sunday,10/30/2016 12:59,Afternoon,Weekend
58,Soup,12,Sunday,10/30/2016 12:59,Afternoon,Weekend
59,Tea,13,Sunday,10/30/2016 13:02,Afternoon,Weekend
60,Cookies,13,Sunday,10/30/2016 13:14,Afternoon,Weekend
60,Coffee,13,Sunday,10/30/2016 13:14,Afternoon,Weekend
60,Juice,13,Sunday,10/30/2016 13:14,Afternoon,Weekend
60,Coffee,13,Sunday,10/30/2016 13:14,Afternoon,Weekend
61,Coffee,13,Sunday,10/30/2016 13:15,Afternoon,Weekend
62,Pick and Mix Bowls,13,Sunday,10/30/2016 13:24,Afternoon,Weekend
62,Hearty & Seasonal,13,Sunday,10/30/2016 13:24,Afternoon,Weekend
62,Hearty & Seasonal,13,Sunday,10/30/2016 13:24,Afternoon,Weekend
62,Coffee,13,Sunday,10/30/2016 13:24,Afternoon,Weekend
62,Smoothies,13,Sunday,10/30/2016 13:24,Afternoon,Weekend
62,Coffee,13,Sunday,10/30/2016 13:24,Afternoon,Weekend
63,Coffee,13,Sunday,10/30/2016 13:33,Afternoon,Weekend
64,Cake,13,Sunday,10/30/2016 13:34,Afternoon,Weekend
65,Tartine,13,Sunday,10/30/2016 13:37,Afternoon,Weekend
65,Mighty Protein,13,Sunday,10/30/2016 13:37,Afternoon,Weekend
65,Tea,13,Sunday,10/30/2016 13:37,Afternoon,Weekend
65,Coffee,13,Sunday,10/30/2016 13:37,Afternoon,Weekend
66,Hearty & Seasonal,13,Sunday,10/30/2016 13:40,Afternoon,Weekend
66,Frittata,13,Sunday,10/30/2016 13:40,Afternoon,Weekend
66,Mineral water,13,Sunday,10/30/2016 13:40,Afternoon,Weekend
67,Hearty & Seasonal,13,Sunday,10/30/2016 13:46,Afternoon,Weekend
67,Mineral water,13,Sunday,10/30/2016 13:46,Afternoon,Weekend
67,Muffin,13,Sunday,10/30/2016 13:46,Afternoon,Weekend
68,Frittata,13,Sunday,10/30/2016 13:49,Afternoon,Weekend
68,Coffee,13,Sunday,10/30/2016 13:49,Afternoon,Weekend
68,Tea,13,Sunday,10/30/2016 13:49,Afternoon,Weekend
68,Scandinavian,13,Sunday,10/30/2016 13:49,Afternoon,Weekend
68,Chicken sand,13,Sunday,10/30/2016 13:49,Afternoon,Weekend
69,Bread,13,Sunday,10/30/2016 13:51,Afternoon,Weekend
69,Tea,13,Sunday,10/30/2016 13:51,Afternoon,Weekend
69,Victorian Sponge,13,Sunday,10/30/2016 13:51,Afternoon,Weekend
70,Fudge,13,Sunday,10/30/2016 13:54,Afternoon,Weekend
71,Muffin,13,Sunday,10/30/2016 13:56,Afternoon,Weekend
72,Coffee,14,Sunday,10/30/2016 14:21,Afternoon,Weekend
72,Bread,14,Sunday,10/30/2016 14:21,Afternoon,Weekend
73,Bread,14,Sunday,10/30/2016 14:22,Afternoon,Weekend
74,Coffee,14,Sunday,10/30/2016 14:24,Afternoon,Weekend
74,Bread,14,Sunday,10/30/2016 14:24,Afternoon,Weekend
75,Jam,14,Sunday,10/30/2016 14:32,Afternoon,Weekend
75,Frittata,14,Sunday,10/30/2016 14:32,Afternoon,Weekend
76,Coffee,14,Sunday,10/30/2016 14:32,Afternoon,Weekend
